study_hours,attendance_pct,previous_score,assignment_completion,sleep_hours,participation,previous_performance,performance_category
9.6,49.6,63.6,33.2,3.3,7,6,Average
0.9,51.2,72.0,30.5,6.3,3,10,Needs Improvement
11.8,57.1,50.4,78.1,6.8,10,8,Excellent
9.3,50.4,78.6,85.4,4.6,2,8,Excellent
2.4,93.8,90.2,37.1,9.7,9,3,Excellent
0.1,44.8,84.6,60.5,9.4,3,7,Needs Improvement
9.8,71.5,32.8,87.3,8.1,2,1,Average
8.5,64.6,63.6,78.6,6.7,8,1,Good
8.7,98.9,37.3,63.4,9.1,10,7,Excellent
9.3,46.7,46.9,67.2,3.9,6,10,Good
0.9,63.9,99.1,60.7,8.5,6,9,Good
4.3,98.2,40.0,43.8,3.9,10,7,Average
1.4,91.9,64.9,65.2,8.6,7,10,Average
10.4,89.0,73.3,75.1,4.9,7,5,Excellent
7.5,55.5,79.2,89.9,9.1,6,8,Excellent
4.0,50.3,69.2,70.9,9.6,4,2,Needs Improvement
0.8,80.1,30.7,80.9,4.0,9,9,Average
3.7,95.8,52.9,32.8,6.2,6,6,Good
3.9,73.4,66.2,56.9,9.9,4,9,Average
8.8,74.3,36.2,20.7,6.4,3,2,Needs Improvement
7.7,56.8,54.5,39.7,9.0,4,3,Average
10.6,86.2,32.3,78.1,7.1,3,8,Good
5.7,51.2,35.5,99.3,5.6,2,1,Average
1.4,59.4,57.8,27.9,5.0,5,10,Needs Improvement
8.6,65.5,39.3,52.1,4.4,2,7,Average
9.1,70.5,69.7,84.0,8.3,6,7,Excellent
6.7,54.5,78.3,36.3,5.7,3,1,Average
9.3,46.9,86.0,64.4,6.6,6,9,Excellent
5.9,76.6,44.0,78.6,6.4,10,8,Good
6.3,57.3,41.7,69.3,7.0,9,4,Average
5.1,74.9,37.3,35.0,9.1,1,10,Needs Improvement
0.3,49.3,74.6,48.4,9.9,6,5,Needs Improvement
1.3,68.9,79.5,82.7,5.9,9,2,Good
0.4,72.0,32.2,64.3,8.8,4,9,Needs Improvement
7.6,43.1,95.5,20.4,8.4,2,6,Average
3.8,60.2,33.6,80.9,7.0,4,3,Needs Improvement
6.1,48.1,67.9,22.8,9.7,1,7,Needs Improvement
10.9,43.8,79.6,79.7,4.4,3,9,Good
3.0,99.4,91.0,36.2,3.8,10,3,Good
4.9,59.3,80.0,96.6,9.0,9,2,Excellent
9.1,88.6,86.1,49.4,6.1,10,7,Excellent
2.7,55.3,53.8,46.2,8.9,5,7,Needs Improvement
0.9,80.9,87.0,31.9,9.3,6,4,Average
3.5,85.6,35.6,44.4,3.4,3,9,Needs Improvement
1.9,75.7,92.6,90.1,9.2,5,8,Excellent
11.2,68.3,68.3,99.7,6.1,8,1,Excellent
9.7,64.7,87.2,49.5,6.6,6,1,Excellent
7.6,60.9,61.7,55.9,7.4,4,5,Average
10.5,95.8,75.1,77.8,9.5,2,6,Excellent
9.6,89.8,66.8,90.9,3.1,9,3,Excellent
2.2,97.9,81.2,67.4,6.3,1,9,Excellent
10.7,47.5,35.7,51.3,7.8,1,10,Needs Improvement
6.5,83.9,34.2,53.0,8.1,4,6,Average
9.7,96.3,47.3,75.6,7.8,7,4,Excellent
10.8,50.9,41.2,20.3,3.9,1,7,Needs Improvement
3.8,44.0,91.0,69.6,5.1,9,8,Average
1.3,84.5,45.3,48.4,5.5,4,9,Average
2.7,74.5,98.3,83.5,8.6,3,6,Excellent
5.1,90.5,53.6,27.4,5.0,1,6,Average
9.8,48.4,42.7,67.1,4.5,10,8,Average
10.3,87.7,85.3,58.5,9.7,4,5,Excellent
0.1,52.1,76.1,71.4,3.1,9,3,Needs Improvement
6.1,49.8,64.9,25.2,10.0,10,3,Needs Improvement
5.0,49.9,68.9,66.4,7.7,6,6,Needs Improvement
2.7,88.9,80.3,64.9,8.8,6,2,Good
1.4,79.9,46.0,64.9,5.1,1,6,Needs Improvement
4.1,71.4,99.7,68.3,3.1,10,6,Excellent
11.3,61.5,98.2,74.1,8.2,2,8,Excellent
3.9,92.6,75.5,84.4,8.8,6,7,Excellent
6.2,63.5,44.0,41.6,8.2,2,8,Needs Improvement
8.4,89.0,77.6,86.0,4.0,3,9,Excellent
4.4,66.3,35.1,59.9,8.3,4,6,Average
11.7,62.6,32.1,26.2,8.4,5,3,Needs Improvement
11.5,67.8,48.0,24.7,7.6,9,10,Good
3.0,58.1,62.4,46.7,8.4,4,3,Needs Improvement
6.0,84.9,90.8,82.8,8.9,9,1,Excellent
3.6,70.2,80.9,76.6,7.3,10,5,Good
3.4,53.9,82.0,83.1,3.6,3,4,Good
0.4,94.0,59.8,61.4,6.4,8,9,Average
7.3,63.0,54.2,55.2,3.5,1,9,Needs Improvement
6.0,72.6,56.0,31.8,5.9,9,5,Average
0.6,94.4,99.1,46.3,5.8,9,10,Excellent
3.3,77.5,32.8,54.7,3.5,10,4,Needs Improvement
10.9,47.0,90.7,27.1,5.4,2,7,Average
2.9,96.4,70.5,37.6,3.8,4,6,Average
1.7,77.7,60.7,67.9,8.7,8,4,Good
5.9,60.1,80.8,78.9,9.6,7,10,Excellent
11.8,48.4,64.1,99.9,3.5,1,2,Good
2.9,87.6,91.1,94.6,9.7,5,1,Excellent
8.1,77.2,93.0,71.4,6.7,7,4,Excellent
9.1,72.0,59.5,53.7,5.1,4,4,Average
2.9,93.6,49.4,70.9,3.5,1,1,Needs Improvement
8.7,87.3,71.5,82.9,6.5,9,6,Excellent
4.4,49.1,93.9,29.5,8.6,5,4,Average
7.6,58.7,44.7,52.8,7.9,2,1,Needs Improvement
7.6,54.9,73.6,87.2,3.4,8,1,Good
6.4,84.6,74.2,50.7,3.5,2,1,Average
1.1,42.0,81.3,65.7,5.8,3,8,Needs Improvement
10.0,74.2,39.2,67.0,5.1,10,10,Good
3.8,85.7,80.1,34.8,4.6,1,8,Good
2.2,92.6,93.6,49.0,5.0,2,2,Excellent
0.5,60.5,42.6,46.8,8.6,7,7,Needs Improvement
7.1,89.3,46.6,22.1,9.5,10,8,Average
8.1,46.6,98.0,21.9,5.8,2,8,Needs Improvement
0.2,90.8,42.7,86.5,9.3,6,10,Good
6.1,47.6,89.8,41.8,5.3,3,7,Average
2.7,63.8,64.5,61.4,6.3,4,5,Average
7.7,87.8,47.3,43.9,4.6,8,1,Average
2.1,49.0,91.0,95.3,7.5,3,9,Average
8.3,53.8,61.2,40.7,9.9,10,7,Average
4.6,83.3,66.0,54.4,7.2,6,2,Good
11.2,83.2,55.1,89.8,5.5,1,6,Excellent
1.7,78.5,71.5,87.4,7.5,7,2,Average
4.1,81.6,41.4,34.9,3.9,8,1,Average
1.4,72.6,57.4,84.2,9.2,8,7,Good
11.1,55.1,97.9,56.7,6.5,3,2,Excellent
10.5,60.7,48.1,58.6,6.1,10,2,Average
3.1,50.9,76.0,30.7,7.1,1,5,Needs Improvement
7.9,94.5,52.8,26.4,7.4,9,5,Good
9.8,75.0,84.1,78.2,3.5,6,7,Excellent
6.7,64.1,39.2,59.7,7.8,9,1,Average
6.4,67.7,97.9,54.9,4.7,7,8,Excellent
2.9,96.8,61.8,78.4,8.0,1,3,Good
1.1,49.2,46.5,81.2,8.8,1,4,Needs Improvement
10.8,75.2,35.1,32.7,8.6,6,9,Good
10.8,70.4,41.9,68.8,6.9,5,4,Average
7.6,76.7,66.4,30.8,6.6,9,10,Excellent
4.1,41.1,53.6,80.1,4.0,2,5,Needs Improvement
4.2,92.3,88.0,72.6,8.4,8,7,Excellent
8.7,95.9,60.2,96.5,4.9,5,4,Excellent
10.8,73.9,47.4,25.5,6.5,2,1,Needs Improvement
10.6,81.8,73.2,24.6,5.0,10,9,Excellent
9.4,95.3,79.5,42.6,3.9,6,4,Excellent
7.7,82.4,41.7,40.9,7.4,10,9,Good
1.0,49.2,41.7,39.8,3.4,8,6,Needs Improvement
1.9,74.6,32.6,92.5,8.2,4,1,Needs Improvement
10.8,76.4,81.5,40.0,5.2,2,3,Good
7.3,65.4,76.5,41.8,3.0,5,2,Average
0.1,84.2,63.2,80.8,6.6,2,9,Needs Improvement
1.2,96.1,89.1,56.0,3.3,2,1,Average
8.0,95.5,86.4,82.1,4.9,6,9,Excellent
0.1,67.1,71.0,25.2,7.9,10,9,Needs Improvement
1.9,46.8,90.8,59.0,3.4,9,8,Needs Improvement
6.6,99.1,44.4,22.7,8.9,4,8,Needs Improvement
8.3,90.3,37.8,25.0,3.0,6,1,Needs Improvement
7.8,47.5,48.9,92.5,4.7,7,8,Average
2.7,95.3,34.0,31.1,8.2,6,10,Good
8.5,92.2,67.2,62.6,5.2,8,3,Excellent
2.8,71.1,95.6,52.9,3.7,4,7,Good
3.9,75.5,32.8,47.8,5.5,1,1,Needs Improvement
9.0,63.9,38.5,92.0,4.9,7,1,Average
7.8,43.3,61.7,21.7,8.9,3,10,Needs Improvement
10.2,60.1,95.4,73.1,5.2,6,5,Good
7.9,88.2,52.1,97.1,8.5,2,5,Excellent
6.8,40.3,65.5,64.8,9.2,9,8,Good
1.1,60.0,32.9,94.9,6.0,1,7,Needs Improvement
4.4,63.9,40.4,24.2,9.4,6,8,Needs Improvement
3.2,72.2,99.1,53.5,5.6,6,6,Good
2.9,95.2,97.6,40.8,9.7,5,6,Good
11.7,60.8,30.3,78.5,3.6,5,2,Average
4.7,60.8,96.6,98.5,7.8,1,6,Good
10.7,84.3,74.7,40.5,6.5,10,5,Excellent
7.6,67.1,90.8,72.3,5.7,5,3,Excellent
9.5,53.5,61.8,35.8,7.4,2,6,Average
6.0,67.1,66.1,65.2,7.9,7,8,Good
6.9,48.5,64.2,57.1,3.0,3,9,Average
5.9,50.6,76.7,97.8,4.2,4,1,Average
2.3,69.9,39.8,68.7,8.0,3,3,Needs Improvement
8.7,65.1,32.1,48.0,7.7,3,3,Needs Improvement
3.4,94.9,51.6,29.1,9.8,4,8,Average
0.3,61.7,79.3,32.1,8.3,5,1,Needs Improvement
7.7,74.8,44.1,38.0,9.7,1,5,Needs Improvement
2.1,77.9,77.1,40.1,7.9,4,3,Needs Improvement
11.3,40.8,97.9,88.0,5.1,8,2,Excellent
11.4,79.8,36.6,64.9,3.7,10,8,Good
11.0,50.7,77.1,61.9,8.5,7,3,Excellent
4.4,97.7,61.1,29.2,7.5,9,7,Average
0.2,48.9,90.8,88.8,3.3,5,1,Average
11.1,64.9,42.4,77.8,5.5,10,6,Excellent
5.1,45.1,78.5,25.4,9.7,4,3,Average
11.6,99.8,88.7,76.6,6.5,8,8,Excellent
11.6,70.1,96.1,63.5,6.0,9,6,Excellent
10.2,75.7,77.8,26.5,6.2,7,2,Good
3.5,44.0,64.8,56.7,4.5,7,6,Needs Improvement
4.6,85.0,73.2,58.8,5.6,5,7,Good
10.2,52.6,90.8,33.3,5.6,4,5,Good
3.8,93.9,69.9,95.7,3.4,10,3,Good
2.0,52.3,32.1,88.0,8.4,1,4,Needs Improvement
6.7,51.4,95.2,73.5,5.9,10,4,Good
11.2,42.2,78.3,57.0,8.8,10,6,Good
8.4,68.3,77.4,52.9,9.0,7,10,Excellent
6.8,73.9,45.1,72.1,4.5,1,1,Needs Improvement
1.2,43.9,76.1,63.6,7.6,1,4,Needs Improvement
7.4,86.5,57.6,25.0,6.3,5,10,Excellent
11.9,67.2,75.6,61.0,9.2,9,4,Excellent
1.7,71.5,37.5,84.5,4.5,6,10,Average
6.2,66.4,76.0,56.7,7.7,3,1,Average
10.5,64.0,100.0,24.2,7.3,3,9,Excellent
8.9,73.6,33.4,82.9,5.1,7,4,Good
8.4,49.3,98.4,36.1,4.0,6,7,Average
8.4,50.9,58.5,40.7,7.6,9,3,Needs Improvement
4.3,91.7,91.0,33.2,8.2,6,10,Good
3.5,96.8,84.8,46.4,5.2,5,3,Good
9.7,62.4,69.7,80.5,7.5,10,8,Excellent
9.7,56.2,81.7,61.6,5.8,7,8,Excellent
10.4,78.6,91.5,36.4,8.0,1,1,Average
11.0,64.5,58.3,90.2,4.4,7,10,Excellent
6.1,41.5,52.9,90.4,9.2,3,2,Average
6.0,49.4,76.7,89.6,5.0,9,8,Excellent
9.6,83.0,86.5,39.1,5.6,6,1,Excellent
7.8,79.5,83.4,56.1,3.4,9,8,Excellent
8.4,41.6,85.8,98.8,3.8,5,8,Excellent
9.5,53.3,60.5,81.8,6.6,7,2,Good
10.7,53.9,87.2,22.2,4.9,4,4,Average
4.1,80.3,38.4,25.2,8.8,7,6,Needs Improvement
4.5,41.2,68.1,57.1,3.1,1,9,Average
1.1,46.2,30.4,92.7,5.7,7,8,Needs Improvement
6.9,88.0,52.7,63.1,5.4,8,8,Excellent
0.4,50.7,55.7,59.8,3.1,5,7,Needs Improvement
5.6,79.2,57.7,28.4,3.9,2,9,Needs Improvement
6.5,54.3,78.7,72.5,5.9,5,2,Average
3.4,46.0,57.2,85.8,6.5,6,3,Needs Improvement
7.1,54.6,61.4,50.4,5.8,2,10,Average
0.4,83.3,46.6,82.0,6.7,6,8,Average
0.4,91.3,56.1,97.2,7.2,6,6,Excellent
9.9,89.8,45.9,36.3,3.1,1,10,Good
4.3,63.8,35.1,61.9,6.2,1,9,Needs Improvement
1.5,80.1,72.2,43.0,9.7,10,10,Good
6.3,52.3,76.8,83.4,6.6,3,4,Average
9.2,57.6,73.4,66.2,7.7,10,8,Excellent
2.6,93.8,62.4,70.8,5.2,10,10,Good
7.5,40.8,56.6,83.8,8.4,3,3,Needs Improvement
1.0,45.1,90.4,51.7,8.4,4,3,Needs Improvement
0.6,52.5,66.3,93.2,6.6,2,8,Average
6.4,41.6,63.5,62.6,9.8,9,5,Average
6.5,50.9,31.8,32.6,3.9,10,3,Needs Improvement
7.6,75.0,53.9,75.7,3.1,7,10,Excellent
8.7,65.3,56.6,83.5,8.4,7,1,Good
11.7,93.6,57.9,45.3,8.7,6,3,Excellent
6.2,89.0,70.6,88.6,3.8,3,9,Excellent
3.9,60.5,67.4,92.5,4.9,6,5,Average
9.5,55.6,72.6,42.2,3.1,8,10,Excellent
3.2,62.8,83.5,98.7,5.1,8,2,Excellent
5.3,75.4,86.9,31.3,8.4,9,7,Good
0.9,56.1,80.3,36.2,6.6,1,2,Needs Improvement
0.3,77.4,96.9,34.7,5.4,1,4,Average
11.6,64.6,31.3,91.5,5.6,3,7,Average
10.0,73.1,43.7,72.3,3.0,3,4,Average
8.4,66.2,30.5,32.2,5.1,10,7,Average
4.9,57.7,75.3,55.2,7.5,8,7,Average
2.1,96.9,92.9,69.2,9.8,10,1,Excellent
1.9,85.8,47.0,26.7,8.9,1,6,Needs Improvement
3.0,48.4,94.9,90.6,3.2,2,9,Good
6.6,92.1,34.2,84.3,9.3,2,2,Good
8.6,69.2,95.4,60.4,8.5,3,3,Good
7.9,93.7,54.6,97.4,8.5,6,10,Excellent
3.4,88.0,37.1,53.4,6.2,1,5,Needs Improvement
11.5,65.5,64.0,98.7,5.8,2,9,Excellent
8.9,41.3,48.0,73.4,5.1,1,4,Needs Improvement
6.7,56.1,49.9,70.8,3.5,5,1,Average
7.3,72.5,51.5,33.3,4.6,7,4,Average
5.0,78.0,86.2,90.6,4.7,8,6,Excellent
3.0,55.5,67.7,54.2,6.4,10,5,Needs Improvement
4.3,48.4,51.8,33.0,8.2,1,1,Needs Improvement
9.1,90.1,72.7,21.0,6.3,7,4,Good
0.2,99.1,80.1,64.8,3.4,5,6,Average
1.4,71.5,49.1,62.2,9.7,10,10,Average
0.6,50.3,58.9,77.5,9.6,1,10,Average
0.5,56.3,38.5,91.2,8.5,3,4,Needs Improvement
10.3,41.1,42.7,26.4,9.9,7,9,Needs Improvement
8.4,94.9,77.7,78.5,6.8,10,5,Excellent
5.7,47.1,42.7,35.0,9.7,1,8,Needs Improvement
1.2,74.6,66.8,88.7,3.5,7,9,Good
5.9,56.4,79.6,85.5,5.6,5,10,Excellent
5.7,73.3,37.5,63.3,4.6,1,5,Needs Improvement
2.1,79.1,69.7,76.8,4.4,1,6,Average
5.2,89.8,48.0,45.1,4.0,1,1,Average
4.8,52.4,97.4,57.7,7.4,9,7,Good
7.4,40.7,63.8,85.7,8.5,3,4,Average
7.6,48.2,86.4,56.7,7.0,5,2,Average
0.5,94.0,68.5,48.6,4.0,10,5,Average
4.5,92.4,33.0,59.5,8.7,9,3,Good
7.5,75.8,74.3,86.3,7.5,6,6,Excellent
6.0,76.0,96.6,46.8,5.7,9,8,Excellent
10.3,79.9,72.1,33.9,7.7,8,7,Excellent
7.9,50.5,87.3,77.0,4.8,8,3,Good
2.0,94.9,91.9,86.1,5.4,1,8,Good
0.8,65.1,46.0,28.1,9.4,9,2,Needs Improvement
7.7,63.0,44.8,39.2,5.0,6,10,Average
0.3,71.1,72.8,31.4,6.3,9,9,Average
7.0,42.8,58.8,47.8,9.2,3,4,Needs Improvement
11.3,50.0,88.8,56.0,8.0,3,1,Good
6.9,84.3,93.0,79.9,3.4,6,8,Excellent
4.7,45.0,54.7,72.1,4.0,9,7,Average
7.7,76.2,46.6,69.7,3.1,7,5,Average
5.5,54.7,84.6,48.2,7.4,3,10,Good
6.5,63.4,49.2,87.3,6.1,3,5,Average
11.3,57.3,87.6,57.7,3.9,2,7,Good
4.6,61.3,59.7,98.3,9.7,9,5,Good
11.5,83.1,76.7,70.7,6.7,3,8,Excellent
10.9,57.8,36.7,30.1,4.7,5,6,Needs Improvement
2.3,74.0,73.7,74.1,6.5,9,5,Good
0.8,68.6,61.6,46.0,7.8,8,9,Needs Improvement
1.2,79.8,71.1,74.9,3.5,2,2,Needs Improvement
0.2,96.2,41.8,25.6,4.9,3,1,Needs Improvement
1.1,84.0,81.6,34.0,8.6,2,8,Average
8.2,52.9,90.4,88.5,6.2,8,3,Good
0.9,41.9,45.2,38.2,6.8,6,7,Needs Improvement
3.8,55.7,36.7,87.0,6.0,6,10,Good
10.1,75.7,31.7,42.3,3.3,9,8,Needs Improvement
0.3,43.1,74.9,71.4,4.2,8,6,Needs Improvement
9.8,69.8,72.5,75.5,6.1,4,10,Excellent
3.4,75.8,68.3,61.0,4.5,4,9,Good
1.4,60.1,46.2,44.4,3.3,9,7,Needs Improvement
8.4,86.3,57.4,37.0,8.9,1,10,Average
7.5,46.4,71.6,22.7,9.9,2,5,Average
10.5,44.5,64.8,44.3,8.6,2,8,Good
8.8,83.7,99.1,72.3,9.0,6,2,Excellent
9.6,69.7,39.6,95.1,4.7,4,7,Good
3.4,81.3,78.7,89.7,9.7,10,4,Excellent
2.1,66.1,58.3,81.3,4.4,3,9,Average
9.0,54.8,60.0,83.1,9.7,3,1,Good
9.7,89.1,80.2,73.2,10.0,3,7,Excellent
11.9,88.0,78.5,40.8,8.0,6,6,Excellent
5.0,81.7,99.4,92.6,9.9,8,8,Excellent
4.5,56.3,39.0,73.7,7.0,7,5,Average
9.3,75.4,37.3,64.8,4.8,4,1,Average
4.1,61.7,80.7,28.9,6.1,4,1,Needs Improvement
11.2,45.5,70.5,55.8,7.2,10,9,Excellent
10.3,95.0,49.2,56.8,3.5,2,10,Good
5.1,48.2,35.6,89.2,7.4,1,6,Needs Improvement
9.0,97.0,36.0,63.7,9.9,9,10,Excellent
9.1,66.8,92.6,50.4,4.3,2,5,Average
1.2,51.1,43.4,98.1,8.5,8,1,Needs Improvement
10.8,72.5,52.6,28.9,9.4,9,6,Excellent
6.1,92.4,45.9,53.8,9.6,4,6,Average
9.9,83.9,54.8,23.4,9.7,8,3,Good
3.8,88.4,34.9,79.2,6.7,9,8,Good
10.7,79.5,66.3,93.4,9.8,10,1,Excellent
4.7,81.5,34.7,42.4,8.3,10,1,Needs Improvement
0.1,91.0,86.0,88.7,4.1,5,6,Good
10.9,55.0,46.4,43.4,6.3,7,10,Average
1.1,69.4,67.8,92.9,8.0,10,1,Average
3.8,53.3,91.6,80.3,4.7,4,6,Needs Improvement
11.4,99.3,75.6,84.4,7.5,1,1,Excellent
11.4,96.6,67.3,21.4,7.7,3,6,Excellent
6.9,42.4,52.7,97.0,4.1,5,3,Average
7.6,82.3,53.3,78.1,7.0,3,8,Good
5.4,95.5,76.9,44.4,8.4,7,6,Excellent
3.5,50.8,99.6,86.4,6.5,9,1,Good
3.9,74.1,76.3,42.5,3.1,6,5,Average
8.1,94.9,69.0,89.8,3.1,10,8,Excellent
9.0,42.0,81.1,29.0,5.5,1,3,Average
9.5,81.8,62.6,76.3,9.5,7,6,Excellent
9.5,57.8,34.2,63.3,4.6,3,5,Needs Improvement
1.1,95.5,69.4,27.7,7.4,5,6,Needs Improvement
5.9,98.3,97.0,39.4,4.6,10,10,Excellent
0.7,96.7,42.3,21.0,5.3,4,1,Needs Improvement
6.6,68.5,78.3,57.5,8.9,10,7,Good
5.3,91.7,44.1,44.1,8.1,5,9,Average
10.7,90.7,67.5,67.9,3.7,5,2,Good
4.2,59.1,36.8,43.8,6.0,6,10,Average
1.4,89.7,61.5,44.0,3.2,10,5,Good
1.7,42.2,82.9,79.5,6.4,10,10,Good
9.1,75.8,54.3,23.9,7.6,6,4,Needs Improvement
7.4,53.8,76.5,92.2,3.8,8,6,Good
1.2,47.2,85.7,88.2,5.0,8,6,Average
1.0,44.6,94.9,73.4,5.8,9,2,Needs Improvement
8.4,81.8,46.4,67.5,9.4,8,2,Good
0.9,60.4,58.0,91.4,10.0,2,4,Average
9.9,83.5,40.7,34.8,3.3,10,1,Average
8.5,43.9,99.5,26.3,8.3,1,9,Good
1.0,58.9,94.9,39.2,5.6,10,7,Average
1.0,72.4,67.8,83.6,5.7,2,7,Good
11.8,87.4,88.9,22.8,8.3,2,3,Good
4.5,59.1,66.5,66.6,9.4,3,3,Average
4.4,77.6,73.7,99.6,9.7,10,1,Excellent
9.8,93.2,36.2,88.5,7.0,7,3,Good
11.4,77.0,82.9,61.7,5.5,2,3,Excellent
11.8,54.0,38.9,25.1,8.5,1,4,Needs Improvement
9.0,41.5,87.8,86.5,4.8,6,4,Good
4.5,92.2,84.7,67.9,6.9,9,3,Good
1.0,41.3,79.6,29.2,5.5,3,10,Needs Improvement
9.3,92.5,32.5,27.5,7.6,6,8,Good
6.7,71.7,51.2,92.8,4.7,3,8,Good
5.1,96.3,48.4,73.5,4.3,1,1,Average
10.9,87.9,55.2,86.3,9.4,5,7,Excellent
1.3,99.9,36.1,90.3,3.7,10,2,Average
5.9,61.0,95.6,65.7,6.5,4,1,Good
0.1,86.0,68.8,61.4,4.5,7,3,Needs Improvement
5.6,64.1,51.4,54.4,3.3,6,4,Needs Improvement
0.7,68.8,57.8,45.4,3.3,10,6,Needs Improvement
1.4,77.7,61.3,54.8,4.2,7,10,Average
1.4,92.4,72.0,81.9,9.1,5,5,Good
7.8,99.0,66.1,68.2,5.0,4,4,Excellent
9.0,86.1,94.4,91.4,9.7,7,8,Excellent
7.0,65.1,64.8,55.5,7.1,7,4,Good
11.5,65.3,99.5,68.6,6.1,6,10,Excellent
4.5,84.3,89.6,70.5,7.1,8,2,Excellent
3.4,54.3,44.6,67.3,6.6,4,3,Needs Improvement
10.4,46.6,95.1,76.2,8.3,10,6,Excellent
2.7,61.3,38.1,39.0,5.0,5,8,Needs Improvement
11.6,57.2,87.2,61.0,5.5,4,8,Excellent
0.1,57.8,56.6,28.3,9.3,1,9,Needs Improvement
11.6,54.0,91.5,50.8,9.6,8,7,Excellent
0.5,42.5,90.8,59.0,9.2,1,2,Average
10.7,41.1,86.4,72.2,5.9,5,8,Good
6.3,99.3,85.3,96.0,8.5,6,7,Excellent
11.9,65.7,51.3,68.1,6.3,6,8,Excellent
0.9,63.1,35.7,79.5,6.5,5,3,Needs Improvement
6.6,80.8,58.2,60.5,4.4,3,7,Average
11.6,53.1,42.1,70.7,7.1,5,10,Good
6.3,97.0,78.6,25.7,4.3,8,9,Good
7.6,87.2,54.2,40.4,5.3,2,3,Average
8.3,45.4,98.3,48.9,9.0,6,10,Excellent
5.5,65.1,74.9,57.8,4.4,9,6,Good
